epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.8077,0.42669,0.94512,1,0.16435,0.00043342,0.00043342,0.00043342
2,13.2114,0.13558,0.97561,1,0.06314,0.000839776,0.000839776,0.000839776
3,18.7038,0.08497,0.95732,1,0.07442,0.00120157,0.00120157,0.00120157
4,23.8684,0.04705,0.97561,1,0.13687,0.00141945,0.00141945,0.00141945
5,29.0718,0.08788,0.96951,1,0.15946,0.00133693,0.00133693,0.00133693
6,34.1232,0.0853,0.96951,1,0.10898,0.00125442,0.00125442,0.00125442
7,39.3328,0.05459,1,1,0.00948,0.0011719,0.0011719,0.0011719
8,44.3967,0.04009,0.96951,1,0.11816,0.00108938,0.00108938,0.00108938
9,49.5355,0.04868,0.96341,1,0.12246,0.00100687,0.00100687,0.00100687
10,54.6009,0.07081,0.95122,1,0.1645,0.000924352,0.000924352,0.000924352
11,60.1334,0.03264,0.95732,1,0.09808,0.000841835,0.000841835,0.000841835
12,65.5532,0.05226,0.96341,1,0.14238,0.000759318,0.000759318,0.000759318
